,Global_active_power,Global_reactive_power,Voltage,Sub_metering_1,Sub_metering_2,Sub_metering_3,converted_Date_week,Time_h,Time_min,target
33,4.512,0.0,233.62,0,0,17.0,50,17,57,17.0
34,4.058,0.2,234.68,0,0,17.0,50,17,58,17.0
35,2.472,0.058,236.94,0,0,17.0,50,17,59,17.0
36,2.79,0.18,237.52,0,0,18.0,50,18,0,18.0
37,2.624,0.144,238.2,0,0,17.0,50,18,1,17.0
38,2.772,0.118,238.28,0,0,17.0,50,18,2,17.0
39,3.74,0.108,236.93,0,16,18.0,50,18,3,34.0
40,4.928,0.202,235.01,0,37,16.0,50,18,4,53.0
41,6.052,0.192,232.93,0,37,17.0,50,18,5,54.0
42,6.752,0.186,232.12,0,36,17.0,50,18,6,53.0
43,6.474,0.144,231.85,0,37,16.0,50,18,7,53.0
44,6.308,0.116,232.25,0,36,17.0,50,18,8,53.0
45,4.464,0.136,234.66,0,37,16.0,50,18,9,53.0
46,3.396,0.148,236.2,0,22,18.0,50,18,10,40.0
47,3.09,0.152,237.07,0,12,17.0,50,18,11,29.0
48,3.73,0.144,235.78,0,27,17.0,50,18,12,44.0
49,2.308,0.16,237.43,0,1,17.0,50,18,13,18.0
50,2.388,0.158,237.26,0,1,17.0,50,18,14,18.0
51,4.598,0.1,234.25,0,20,17.0,50,18,15,37.0
52,4.524,0.076,234.2,0,9,17.0,50,18,16,26.0
53,4.202,0.082,234.31,0,1,17.0,50,18,17,18.0
54,4.472,0.0,233.29,0,1,16.0,50,18,18,17.0
55,2.852,0.0,235.61,0,1,17.0,50,18,19,18.0
56,2.928,0.0,235.25,0,1,17.0,50,18,20,18.0
57,2.94,0.0,236.04,0,2,17.0,50,18,21,19.0
58,2.934,0.0,235.51,0,1,17.0,50,18,22,18.0
59,2.926,0.0,235.68,0,1,17.0,50,18,23,18.0
60,3.452,0.0,235.2,0,1,17.0,50,18,24,18.0
61,4.87,0.0,233.74,0,1,17.0,50,18,25,18.0
62,4.868,0.0,233.84,0,1,17.0,50,18,26,18.0
63,4.866,0.0,233.79,0,1,17.0,50,18,27,18.0
64,3.176,0.0,235.5,0,1,17.0,50,18,28,18.0
65,2.92,0.0,235.84,0,1,17.0,50,18,29,18.0
66,2.93,0.0,236.15,0,1,17.0,50,18,30,18.0
67,2.912,0.05,235.81,0,1,17.0,50,18,31,18.0
68,2.608,0.052,235.41,0,1,17.0,50,18,32,18.0
69,2.714,0.162,234.82,0,0,17.0,50,18,33,17.0
70,3.538,0.086,233.76,0,1,16.0,50,18,34,17.0
71,6.072,0.0,232.48,0,27,17.0,50,18,35,44.0
72,4.536,0.0,233.54,0,1,17.0,50,18,36,18.0
73,4.408,0.0,232.32,0,1,16.0,50,18,37,17.0
74,2.912,0.048,234.02,0,1,17.0,50,18,38,18.0
75,2.326,0.054,234.76,0,1,17.0,50,18,39,18.0
76,2.264,0.054,234.67,0,1,17.0,50,18,40,18.0
77,2.27,0.054,235.27,0,1,17.0,50,18,41,18.0
78,2.258,0.054,235.12,0,1,17.0,50,18,42,18.0
79,2.188,0.068,235.8,0,1,17.0,50,18,43,18.0
80,2.978,0.166,234.81,0,1,17.0,50,18,44,18.0
81,4.2,0.174,234.38,0,1,17.0,50,18,45,18.0
82,4.204,0.186,234.2,0,1,16.0,50,18,46,17.0
83,4.218,0.178,233.98,0,1,17.0,50,18,47,18.0
84,2.786,0.188,234.99,0,2,17.0,50,18,48,19.0
85,2.54,0.088,234.67,0,4,17.0,50,18,49,21.0
86,2.496,0.08,233.92,0,3,17.0,50,18,50,20.0
87,2.336,0.07,233.51,0,1,16.0,50,18,51,17.0
88,2.322,0.0,233.44,0,0,17.0,50,18,52,17.0
89,2.448,0.0,233.64,0,1,17.0,50,18,53,18.0
90,4.298,0.0,232.39,0,1,16.0,50,18,54,17.0
91,4.23,0.09,232.25,0,1,17.0,50,18,55,18.0
92,4.23,0.09,232.32,0,2,16.0,50,18,56,18.0
93,3.924,0.084,232.79,0,1,17.0,50,18,57,18.0
94,4.218,0.09,232.09,0,1,17.0,50,18,58,18.0
95,4.224,0.09,231.96,0,1,16.0,50,18,59,17.0
96,4.07,0.088,231.99,0,1,17.0,50,19,0,18.0
97,3.612,0.09,232.36,0,2,16.0,50,19,1,18.0
98,3.458,0.09,232.71,0,1,17.0,50,19,2,18.0
99,3.434,0.09,232.01,0,1,16.0,50,19,3,17.0
100,3.366,0.0,232.78,0,1,17.0,50,19,4,18.0
101,3.404,0.082,233.08,0,2,16.0,50,19,5,18.0
102,3.382,0.074,233.69,0,0,17.0,50,19,6,17.0
103,3.616,0.106,234.44,0,4,17.0,50,19,7,21.0
104,3.476,0.092,234.6,0,3,17.0,50,19,8,20.0
105,3.394,0.064,235.12,0,0,17.0,50,19,9,17.0
106,3.4,0.0,234.28,0,1,17.0,50,19,10,18.0
107,3.414,0.0,234.19,0,1,17.0,50,19,11,18.0
108,3.432,0.0,234.69,0,1,16.0,50,19,12,17.0
109,3.418,0.0,234.26,0,2,17.0,50,19,13,19.0
110,3.392,0.0,233.3,0,1,17.0,50,19,14,18.0
111,3.394,0.0,233.43,0,1,17.0,50,19,15,18.0
112,3.394,0.0,233.45,0,1,16.0,50,19,16,17.0
113,3.406,0.0,233.91,0,2,17.0,50,19,17,19.0
114,3.42,0.0,234.43,0,1,17.0,50,19,18,18.0
115,3.418,0.0,234.34,0,1,17.0,50,19,19,18.0
116,3.422,0.052,234.58,0,1,17.0,50,19,20,18.0
117,3.332,0.0,234.02,0,1,16.0,50,19,21,17.0
118,3.316,0.046,234.29,0,1,17.0,50,19,22,18.0
119,3.334,0.0,234.36,0,2,17.0,50,19,23,19.0
120,3.262,0.052,232.64,0,0,17.0,50,19,24,17.0
121,3.476,0.064,232.96,0,3,16.0,50,19,25,19.0
122,3.62,0.09,233.47,0,5,17.0,50,19,26,22.0
123,3.61,0.084,234.98,0,5,17.0,50,19,27,22.0
124,3.646,0.138,234.34,0,5,17.0,50,19,28,22.0
125,3.614,0.192,233.92,0,5,17.0,50,19,29,22.0
126,3.408,0.162,233.94,0,2,16.0,50,19,30,18.0
127,3.388,0.134,233.72,0,1,17.0,50,19,31,18.0
128,3.372,0.132,233.2,0,2,17.0,50,19,32,19.0
129,3.37,0.132,233.1,0,1,16.0,50,19,33,17.0
130,3.342,0.12,232.29,0,1,17.0,50,19,34,18.0
131,3.284,0.0,232.45,0,2,16.0,50,19,35,18.0
132,3.276,0.0,231.97,0,1,17.0,50,19,36,18.0
133,3.382,0.13,232.42,0,2,17.0,50,19,37,19.0
134,3.418,0.16,233.38,0,1,16.0,50,19,38,17.0
135,3.396,0.158,232.69,0,1,17.0,50,19,39,18.0
136,3.406,0.158,233.2,0,2,16.0,50,19,40,18.0
137,3.406,0.158,233.26,0,1,17.0,50,19,41,18.0
138,3.392,0.156,232.84,0,1,17.0,50,19,42,18.0
139,3.378,0.154,232.39,0,2,16.0,50,19,43,18.0
140,3.368,0.154,232.14,0,1,17.0,50,19,44,18.0
141,3.35,0.152,231.57,0,1,16.0,50,19,45,17.0
142,3.352,0.152,231.66,0,2,17.0,50,19,46,19.0
143,3.364,0.154,232.22,0,1,16.0,50,19,47,17.0
144,3.38,0.156,232.81,0,1,17.0,50,19,48,18.0
145,3.404,0.16,233.77,0,1,17.0,50,19,49,18.0
146,3.378,0.156,232.82,0,2,16.0,50,19,50,18.0
147,3.388,0.158,233.22,0,1,17.0,50,19,51,18.0
148,3.376,0.156,232.84,0,1,17.0,50,19,52,18.0
149,3.254,0.0,232.75,0,0,16.0,50,19,53,16.0
150,3.214,0.078,232.64,0,0,17.0,50,19,54,17.0
151,3.202,0.078,232.2,0,0,16.0,50,19,55,16.0
152,3.202,0.078,232.2,0,0,17.0,50,19,56,17.0
153,3.212,0.078,232.58,0,0,16.0,50,19,57,16.0
154,3.206,0.078,232.4,0,0,17.0,50,19,58,17.0
155,3.214,0.078,232.66,0,0,17.0,50,19,59,17.0
156,3.206,0.078,232.43,0,0,16.0,50,20,0,16.0
157,3.222,0.078,233.02,0,0,17.0,50,20,1,17.0
158,3.216,0.076,232.8,0,0,16.0,50,20,2,16.0
159,3.216,0.078,232.79,0,0,17.0,50,20,3,17.0
160,3.194,0.078,231.98,0,0,16.0,50,20,4,16.0
161,3.278,0.0,232.88,0,0,17.0,50,20,5,17.0
162,3.282,0.0,232.52,0,0,17.0,50,20,6,17.0
163,3.292,0.0,232.87,0,0,16.0,50,20,7,16.0
164,3.316,0.0,233.78,0,0,17.0,50,20,8,17.0
165,3.37,0.08,233.69,0,0,17.0,50,20,9,17.0
166,3.42,0.144,234.04,0,0,17.0,50,20,10,17.0
167,3.41,0.142,233.93,0,0,16.0,50,20,11,16.0
168,3.4,0.14,233.62,0,0,17.0,50,20,12,17.0
169,3.4,0.14,233.64,0,0,17.0,50,20,13,17.0
170,3.388,0.14,233.26,0,0,16.0,50,20,14,16.0
171,3.37,0.086,233.9,0,0,17.0,50,20,15,17.0
172,3.332,0.0,233.68,0,0,17.0,50,20,16,17.0
173,3.31,0.0,232.83,0,0,17.0,50,20,17,17.0
174,3.312,0.0,233.0,0,0,16.0,50,20,18,16.0
175,3.314,0.0,233.08,0,0,17.0,50,20,19,17.0
176,3.302,0.0,232.69,0,0,16.0,50,20,20,16.0
177,3.302,0.0,232.91,0,0,17.0,50,20,21,17.0
178,3.3,0.0,232.87,0,0,17.0,50,20,22,17.0
179,3.29,0.0,232.42,0,0,16.0,50,20,23,16.0
180,3.286,0.0,232.31,0,0,17.0,50,20,24,17.0
181,3.23,0.052,232.79,0,0,16.0,50,20,25,16.0
182,3.218,0.078,233.05,0,0,17.0,50,20,26,17.0
183,3.258,0.076,234.57,0,0,17.0,50,20,27,17.0
184,3.264,0.076,234.79,0,0,17.0,50,20,28,17.0
185,3.26,0.076,234.6,0,0,17.0,50,20,29,17.0
186,3.262,0.076,234.54,0,0,17.0,50,20,30,17.0
187,3.264,0.076,234.6,0,0,16.0,50,20,31,16.0
188,3.238,0.076,233.77,0,0,17.0,50,20,32,17.0
189,3.228,0.078,233.5,0,0,17.0,50,20,33,17.0
190,3.222,0.078,233.27,0,0,17.0,50,20,34,17.0
191,3.226,0.078,233.37,0,0,16.0,50,20,35,16.0
192,3.206,0.078,232.64,0,0,17.0,50,20,36,17.0
193,3.188,0.08,231.95,0,0,16.0,50,20,37,16.0
194,3.196,0.08,232.21,0,0,17.0,50,20,38,17.0
195,3.204,0.078,232.5,0,0,16.0,50,20,39,16.0
196,3.232,0.078,233.63,0,0,17.0,50,20,40,17.0
197,3.254,0.074,234.43,0,0,17.0,50,20,41,17.0
198,3.376,0.05,234.63,0,0,17.0,50,20,42,17.0
199,3.372,0.048,235.05,0,0,17.0,50,20,43,17.0
200,3.366,0.048,234.96,0,0,17.0,50,20,44,17.0
201,3.386,0.05,235.77,0,0,17.0,50,20,45,17.0
202,3.496,0.146,236.76,0,0,17.0,50,20,46,17.0
203,3.426,0.146,234.59,0,0,17.0,50,20,47,17.0
204,3.44,0.148,235.13,0,0,17.0,50,20,48,17.0
205,3.44,0.146,235.14,0,0,17.0,50,20,49,17.0
206,3.454,0.15,235.75,0,0,17.0,50,20,50,17.0
207,3.45,0.15,235.69,0,0,17.0,50,20,51,17.0
208,3.48,0.154,236.86,0,0,17.0,50,20,52,17.0
209,3.474,0.152,236.72,0,0,17.0,50,20,53,17.0
210,3.456,0.15,236.05,0,0,17.0,50,20,54,17.0
211,1.832,0.17,237.54,0,0,17.0,50,20,55,17.0
212,2.044,0.102,237.44,0,0,18.0,50,20,56,18.0
213,3.354,0.0,237.0,0,0,17.0,50,20,57,17.0
214,3.282,0.074,235.55,0,0,17.0,50,20,58,17.0
215,3.308,0.074,236.51,0,0,17.0,50,20,59,17.0
216,3.314,0.072,236.76,0,0,17.0,50,21,0,17.0
217,3.306,0.072,237.11,0,0,17.0,50,21,1,17.0
218,1.692,0.054,238.72,0,0,18.0,50,21,2,18.0
219,3.342,0.07,237.66,0,0,17.0,50,21,3,17.0
220,3.354,0.07,238.2,0,0,17.0,50,21,4,17.0
221,3.334,0.072,237.46,0,0,18.0,50,21,5,18.0
222,3.33,0.072,237.36,0,0,17.0,50,21,6,17.0
223,2.74,0.064,238.13,0,0,17.0,50,21,7,17.0
224,2.188,0.06,237.74,0,0,18.0,50,21,8,18.0
225,3.33,0.07,237.26,0,0,17.0,50,21,9,17.0
226,3.34,0.07,237.69,0,0,17.0,50,21,10,17.0
227,3.306,0.072,236.44,0,0,17.0,50,21,11,17.0
228,3.044,0.072,236.23,0,0,17.0,50,21,12,17.0
229,1.766,0.058,237.7,0,0,18.0,50,21,13,18.0
230,3.376,0.0,235.73,0,0,17.0,50,21,14,17.0
231,3.414,0.052,236.51,0,0,17.0,50,21,15,17.0
232,3.426,0.054,237.11,0,0,17.0,50,21,16,17.0
233,3.42,0.054,237.06,0,0,17.0,50,21,17,17.0
234,1.876,0.074,238.63,0,0,18.0,50,21,18,18.0
235,3.442,0.056,237.58,0,0,17.0,50,21,19,17.0
236,3.414,0.054,236.87,0,0,17.0,50,21,20,17.0
237,3.412,0.056,236.94,0,0,17.0,50,21,21,17.0
238,2.542,0.068,238.17,0,0,18.0,50,21,22,18.0
239,2.82,0.062,237.42,0,0,17.0,50,21,23,17.0
240,3.41,0.054,236.91,0,0,17.0,50,21,24,17.0
241,3.392,0.052,236.24,0,0,17.0,50,21,25,17.0
242,2.878,0.06,237.17,0,0,17.0,50,21,26,17.0
243,1.848,0.112,238.59,0,0,18.0,50,21,27,18.0
244,3.494,0.144,237.43,0,0,17.0,50,21,28,17.0
245,3.42,0.0,237.73,0,0,17.0,50,21,29,17.0
246,3.226,0.0,237.2,0,0,18.0,50,21,30,18.0
247,1.948,0.0,238.41,0,0,17.0,50,21,31,17.0
248,3.392,0.0,236.6,0,0,17.0,50,21,32,17.0
249,3.368,0.0,236.12,0,0,17.0,50,21,33,17.0
250,3.378,0.0,236.54,0,0,17.0,50,21,34,17.0
251,1.872,0.0,238.48,0,0,18.0,50,21,35,18.0
252,3.212,0.0,237.27,0,0,17.0,50,21,36,17.0
253,3.346,0.0,237.06,0,0,17.0,50,21,37,17.0
254,3.308,0.072,236.49,0,0,17.0,50,21,38,17.0
255,3.302,0.072,236.28,0,0,17.0,50,21,39,17.0
256,2.36,0.064,236.89,0,0,18.0,50,21,40,18.0
257,2.652,0.046,236.64,0,0,17.0,50,21,41,17.0
258,3.392,0.0,236.58,0,1,17.0,50,21,42,18.0
259,3.398,0.0,236.83,0,2,17.0,50,21,43,19.0
260,3.424,0.046,237.75,0,1,17.0,50,21,44,18.0
261,1.86,0.066,239.69,0,2,18.0,50,21,45,20.0
262,3.25,0.082,238.95,0,1,17.0,50,21,46,18.0
263,3.502,0.172,236.46,0,1,18.0,50,21,47,19.0
264,3.484,0.17,235.98,0,2,17.0,50,21,48,19.0
265,3.478,0.168,235.85,0,1,17.0,50,21,49,18.0
266,1.696,0.194,238.19,0,2,17.0,50,21,50,19.0
267,3.494,0.17,236.28,0,1,17.0,50,21,51,18.0
268,3.482,0.17,236.4,0,1,17.0,50,21,52,18.0
269,3.48,0.17,236.46,0,2,17.0,50,21,53,19.0
270,3.474,0.168,236.28,0,1,17.0,50,21,54,18.0
271,2.308,0.184,237.33,0,1,18.0,50,21,55,19.0
272,2.926,0.178,237.09,0,2,17.0,50,21,56,19.0
273,3.472,0.17,236.39,0,1,17.0,50,21,57,18.0
274,3.48,0.17,236.75,0,1,17.0,50,21,58,18.0
275,3.454,0.168,235.73,0,2,17.0,50,21,59,19.0
276,3.464,0.17,236.03,0,1,17.0,50,22,0,18.0
277,1.786,0.096,237.68,0,1,18.0,50,22,1,19.0
278,3.182,0.0,235.99,0,1,17.0,50,22,2,18.0
279,3.378,0.0,236.26,0,2,17.0,50,22,3,19.0
280,3.372,0.0,236.03,0,1,17.0,50,22,4,18.0
281,3.362,0.0,235.7,0,1,17.0,50,22,5,18.0
282,3.112,0.0,236.08,0,1,17.0,50,22,6,18.0
283,1.614,0.056,237.31,0,0,17.0,50,22,7,17.0
284,3.358,0.0,236.14,0,0,17.0,50,22,8,17.0
285,3.388,0.0,236.61,0,0,17.0,50,22,9,17.0
286,3.392,0.0,236.93,0,0,17.0,50,22,10,17.0
287,2.81,0.0,237.97,0,0,18.0,50,22,11,18.0
288,2.18,0.0,238.02,0,0,17.0,50,22,12,17.0
289,3.37,0.0,236.06,0,0,17.0,50,22,13,17.0
290,3.326,0.0,234.45,0,0,17.0,50,22,14,17.0
291,2.778,0.0,235.31,0,0,9.0,50,22,15,9.0
292,2.358,0.0,237.1,0,0,0.0,50,22,16,0.0
293,0.96,0.054,238.68,0,0,0.0,50,22,17,0.0
294,1.606,0.0,238.76,0,0,0.0,50,22,18,0.0
295,2.35,0.0,238.59,0,0,0.0,50,22,19,0.0
296,2.428,0.068,238.87,0,0,0.0,50,22,20,0.0
297,2.078,0.072,238.97,0,0,0.0,50,22,21,0.0
298,0.78,0.09,239.93,0,0,0.0,50,22,22,0.0
299,2.426,0.068,239.05,0,0,0.0,50,22,23,0.0
300,2.412,0.066,238.46,0,0,0.0,50,22,24,0.0
301,2.428,0.07,239.68,0,0,0.0,50,22,25,0.0
302,1.53,0.084,240.72,0,0,0.0,50,22,26,0.0
303,1.388,0.086,240.87,0,0,0.0,50,22,27,0.0
304,2.424,0.07,239.71,0,0,0.0,50,22,28,0.0
305,2.428,0.072,239.89,0,0,0.0,50,22,29,0.0
306,2.388,0.07,239.48,0,0,0.0,50,22,30,0.0
307,0.376,0.1,241.64,0,0,0.0,50,22,31,0.0
308,2.202,0.074,240.07,0,0,0.0,50,22,32,0.0
309,2.43,0.07,239.77,0,0,0.0,50,22,33,0.0
310,2.346,0.052,240.05,0,0,0.0,50,22,34,0.0
311,1.916,0.054,239.75,0,0,0.0,50,22,35,0.0
312,0.384,0.0,240.58,0,0,0.0,50,22,36,0.0
313,2.334,0.06,239.2,0,0,0.0,50,22,37,0.0
314,2.32,0.06,238.84,0,0,0.0,50,22,38,0.0
315,2.306,0.062,238.39,0,0,0.0,50,22,39,0.0
316,2.306,0.064,238.39,0,0,0.0,50,22,40,0.0
317,0.436,0.0,241.06,0,0,0.0,50,22,41,0.0
318,1.584,0.05,240.89,0,0,0.0,50,22,42,0.0
319,2.328,0.062,239.46,0,0,0.0,50,22,43,0.0
320,2.326,0.062,239.27,0,0,0.0,50,22,44,0.0
321,2.334,0.06,239.57,0,0,0.0,50,22,45,0.0
322,1.846,0.054,239.99,0,0,0.0,50,22,46,0.0
323,0.284,0.0,242.04,0,0,0.0,50,22,47,0.0
324,2.342,0.06,239.89,0,0,0.0,50,22,48,0.0
325,2.392,0.0,239.91,0,0,0.0,50,22,49,0.0
326,2.414,0.0,240.02,0,0,0.0,50,22,50,0.0
327,2.414,0.0,239.97,0,0,0.0,50,22,51,0.0
328,0.754,0.086,241.27,0,0,0.0,50,22,52,0.0
329,1.42,0.178,238.64,0,0,0.0,50,22,53,0.0
330,2.468,0.162,237.47,0,0,0.0,50,22,54,0.0
331,2.474,0.164,238.05,0,0,0.0,50,22,55,0.0
332,2.488,0.168,239.03,0,0,0.0,50,22,56,0.0
333,1.81,0.182,240.28,0,0,0.0,50,22,57,0.0
334,0.674,0.2,241.36,0,0,0.0,50,22,58,0.0
335,2.444,0.094,239.42,0,0,0.0,50,22,59,0.0
336,2.41,0.068,238.9,0,0,0.0,50,23,0,0.0
337,2.412,0.07,239.13,0,0,0.0,50,23,1,0.0
338,2.206,0.072,239.37,0,0,0.0,50,23,2,0.0
339,0.37,0.1,241.58,0,0,0.0,50,23,3,0.0
340,2.104,0.076,240.11,0,0,0.0,50,23,4,0.0
341,2.404,0.068,238.73,0,0,0.0,50,23,5,0.0
342,2.418,0.07,239.52,0,0,0.0,50,23,6,0.0
343,2.342,0.0,239.74,0,0,0.0,50,23,7,0.0
344,1.262,0.046,240.96,0,0,0.0,50,23,8,0.0
345,0.852,0.0,241.64,0,0,0.0,50,23,9,0.0
346,2.34,0.06,240.05,0,0,0.0,50,23,10,0.0
347,2.336,0.06,240.07,0,0,0.0,50,23,11,0.0
348,2.334,0.06,239.99,0,0,0.0,50,23,12,0.0
349,2.33,0.06,239.74,0,0,0.0,50,23,13,0.0
350,1.038,0.0,241.17,0,0,0.0,50,23,14,0.0
351,0.386,0.0,242.39,0,0,0.0,50,23,15,0.0
352,2.35,0.06,240.41,0,0,0.0,50,23,16,0.0
353,2.346,0.06,240.5,0,0,0.0,50,23,17,0.0
354,2.346,0.06,240.55,0,0,0.0,50,23,18,0.0
355,1.834,0.052,240.97,0,0,0.0,50,23,19,0.0
356,1.222,0.046,241.58,0,0,0.0,50,23,20,0.0
357,2.342,0.06,240.21,0,0,0.0,50,23,21,0.0
358,2.334,0.06,239.98,0,0,0.0,50,23,22,0.0
359,1.666,0.052,240.65,0,0,0.0,50,23,23,0.0
360,1.198,0.0,241.68,0,0,0.0,50,23,24,0.0
361,2.35,0.058,240.7,0,0,0.0,50,23,25,0.0
362,2.398,0.0,240.7,0,0,0.0,50,23,26,0.0
363,2.444,0.072,240.11,0,0,0.0,50,23,27,0.0
364,0.406,0.098,241.71,0,0,0.0,50,23,28,0.0
365,2.434,0.072,240.13,0,0,0.0,50,23,29,0.0
366,2.502,0.136,240.24,0,0,0.0,50,23,30,0.0
367,2.518,0.176,240.53,0,0,0.0,50,23,31,0.0
368,1.516,0.19,241.36,0,0,0.0,50,23,32,0.0
369,1.498,0.188,241.02,0,0,0.0,50,23,33,0.0
370,2.508,0.174,240.06,0,0,0.0,50,23,34,0.0
371,2.504,0.174,240.09,0,0,0.0,50,23,35,0.0
372,2.492,0.172,239.49,0,0,0.0,50,23,36,0.0
373,0.814,0.204,242.16,0,0,0.0,50,23,37,0.0
374,2.304,0.18,240.95,0,0,0.0,50,23,38,0.0
375,2.53,0.182,241.74,0,0,0.0,50,23,39,0.0
376,2.378,0.0,241.18,0,0,0.0,50,23,40,0.0
377,0.384,0.0,243.73,0,0,0.0,50,23,41,0.0
378,2.37,0.058,241.48,0,0,0.0,50,23,42,0.0
379,2.358,0.058,241.13,0,0,0.0,50,23,43,0.0
380,2.352,0.058,240.96,0,0,0.0,50,23,44,0.0
381,0.416,0.0,242.94,0,0,0.0,50,23,45,0.0
382,2.654,0.062,240.74,0,0,0.0,50,23,46,0.0
383,2.54,0.06,241.23,0,0,0.0,50,23,47,0.0
384,2.526,0.058,241.79,0,0,0.0,50,23,48,0.0
385,1.206,0.0,241.83,0,0,0.0,50,23,49,0.0
386,3.844,0.148,238.71,0,0,0.0,50,23,50,0.0
387,4.122,0.14,237.99,0,0,0.0,50,23,51,0.0
388,3.458,0.0,238.89,0,0,0.0,50,23,52,0.0
389,1.988,0.05,240.26,0,0,0.0,50,23,53,0.0
390,0.596,0.0,240.88,0,0,0.0,50,23,54,0.0
391,1.29,0.0,240.69,0,0,0.0,50,23,55,0.0
392,2.73,0.06,239.43,0,1,0.0,50,23,56,1.0
393,2.734,0.062,239.81,0,2,0.0,50,23,57,2.0
394,2.764,0.066,241.27,0,1,0.0,50,23,58,1.0
395,2.586,0.07,241.63,0,1,0.0,50,23,59,1.0
396,1.044,0.152,242.73,0,2,0.0,50,0,0,2.0
397,1.52,0.22,242.2,0,1,0.0,50,0,1,1.0
398,3.038,0.194,240.14,0,2,0.0,50,0,2,2.0
399,2.974,0.194,239.97,0,1,0.0,50,0,3,1.0
400,2.846,0.198,240.39,0,2,0.0,50,0,4,2.0
401,2.848,0.198,240.59,0,1,0.0,50,0,5,1.0
402,2.858,0.202,241.14,0,1,0.0,50,0,6,1.0
403,2.472,0.208,241.62,0,2,0.0,50,0,7,2.0
404,0.658,0.244,243.75,0,1,0.0,50,0,8,1.0
405,0.838,0.334,242.09,0,2,0.0,50,0,9,2.0
406,2.608,0.298,239.45,0,1,0.0,50,0,10,1.0
407,2.598,0.296,239.44,0,1,0.0,50,0,11,1.0
408,2.56,0.286,238.71,0,2,0.0,50,0,12,2.0
409,2.526,0.278,236.95,0,1,0.0,50,0,13,1.0
410,2.472,0.194,237.55,0,1,0.0,50,0,14,1.0
411,1.658,0.166,238.48,0,1,0.0,50,0,15,1.0
412,0.422,0.184,239.79,0,2,0.0,50,0,16,2.0
413,0.79,0.178,239.47,0,1,0.0,50,0,17,1.0
414,2.436,0.12,238.51,0,1,0.0,50,0,18,1.0
415,2.396,0.056,239.03,0,1,0.0,50,0,19,1.0
416,2.338,0.0,238.37,0,1,0.0,50,0,20,1.0
417,2.304,0.062,238.38,0,0,0.0,50,0,21,0.0
418,0.276,0.0,240.56,0,0,0.0,50,0,22,0.0
419,0.712,0.0,239.84,0,0,0.0,50,0,23,0.0
420,2.332,0.06,239.11,0,0,0.0,50,0,24,0.0
421,2.344,0.058,239.99,0,0,0.0,50,0,25,0.0
422,2.354,0.058,240.64,0,0,0.0,50,0,26,0.0
423,2.332,0.06,239.45,0,0,0.0,50,0,27,0.0
424,2.368,0.056,241.4,0,0,0.0,50,0,28,0.0
425,0.612,0.0,243.68,0,0,0.0,50,0,29,0.0
426,0.286,0.0,244.03,0,0,0.0,50,0,30,0.0
427,1.952,0.05,242.07,0,0,0.0,50,0,31,0.0
428,2.376,0.056,241.86,0,0,0.0,50,0,32,0.0
429,2.374,0.056,241.7,0,0,0.0,50,0,33,0.0
430,2.406,0.0,240.0,0,0,0.0,50,0,34,0.0
431,1.004,0.094,242.0,0,0,0.0,50,0,35,0.0
432,0.388,0.104,242.58,0,0,0.0,50,0,36,0.0
